DATE,MEMBER,PRICE,PLACE,ADDRESS,LATITUDE,LONGITUDE,
2022-02-03,5,84000,약초마을,서울 동작구 노량진로 26 1층 102호,37.50530974,126.9129035,
2022-02-09,6,108500,희래등,서울 동작구 등용로 123,37.51202109,126.9317282,
2022-02-18,4,51500,귀일교자,서울 동작구 노량진로 166,37.51178245,126.9319489,
2022-02-18,5,60000,서울가든,서울 동작구 노량진로6길 6-5,37.51282975,126.9357484,
2022-02-21,5,60000,순천집,서울 동작구 노량진로 80 큐브스테이트 2층,37.51286519,126.9346626,
2022-02-22,6,120000,순천집,서울 동작구 노량진로 80 큐브스테이트 3층,37.51286519,126.9346626,
2022-02-25,6,410000,서울가든,서울 동작구 노량진로6길 6-5,37.51282975,126.9357484,
2022-02-10,6,60000,순 칼국수,서울 동작구 등용로14길 66 1층,37.51224377,126.9351551,
2022-02-24,6,150000,서울가든,서울 동작구 노량진로6길 6-5,37.51282975,126.9357484,
2022-01-03,4,72000,국수사,서울 동작구 상도로30길 63-5 1층 101호,37.50474767,126.9445091,
2022-01-05,4,99000,움프（Ｏｏｍｐｈ）,서울 동작구 상도로 341-2 1층,37.49804768,126.9525262,
2022-01-06,4,120000,신방통통　낙지,서울 동작구 상도로26길 12,37.50387071,126.9384817,
2022-01-06,4,20600,헤븐리가든,서울 동작구 상도로34길 11 1층,37.50416267,126.9459232,
2022-01-10,4,92000,국수사,서울 동작구 상도로30길 63-5 1층 101호,37.50474767,126.9445147,
2022-01-11,4,44000,두부마을,서울 동작구 상도로 65,37.49994531,126.9278376,
2022-01-11,4,72000,지호한방삼계탕,서울 동작구 상도로26길 18 창조빌딩 2층,37.50380782,126.9388267,
2022-01-12,15,200000,PHO HONG,서울 동작구 상도로30길 40 1층 103호,37.5043097,126.9424624,
2022-01-13,4,37000,브레드제이,서울 동작구 상도로 192 1층,37.50493924,126.9401123,
2022-01-14,4,69000,지호한방삼계탕,서울 동작구 상도로26길 18 창조빌딩 2층,37.50380782,126.9388267,
2022-01-17,6,108000,국수사,서울 동작구 상도로30길 63-5 1층 101호,37.50474767,126.9445147,
2022-01-17,4,56500,프랭크버거 상도역점,서울 동작구 만양로 6 상가동 101호,37.5049784,126.9466153,
2022-01-19,5,90000,산골안,서울 관악구 봉천로 392 1층,37.48290671,126.9433578,
2022-01-19,6,76000,신방통통　낙지,서울 동작구 상도로26길 12,37.50387071,126.9384817,
2022-01-20,4,151000,두부마을,서울 동작구 상도로 65,37.49994531,126.9278376,
2022-01-21,6,120000,대방회집,서울 동작구 여의대방로 134-1,37.49897218,126.9207338,
2022-01-21,6,100000,신짱스시,서울 동작구 상도로30길 8 2층,37.50477768,126.9413452,
2022-01-21,10,180000,석춘해물칼국수,서울 동작구 장승배기로10길 23 2층,37.50484928,126.9403894,
2022-01-22,4,46000,신방통통　낙지,서울 동작구 상도로26길 12,37.50387071,126.9384817,
2022-01-24,5,108000,상도　늘보리,서울 동작구 상도로26길 19,37.50415466,126.9387388,
2022-01-24,6,99000,원할머니보쌈　이수역,서울 동작구 동작대로27나길 22 1층,37.48677501,126.9805888,
2022-01-25,4,60000,석춘해물칼국수,서울 동작구 장승배기로10길 23 2층,37.50484928,126.9403894,
2022-01-26,20,300000,명동찌개마을,서울 동작구 동작대로27길 6,37.487746,126.9815185,
2022-01-26,10,87600,프랭크버거　상도역점,서울 동작구 만양로 6 상가동 101호,37.5049784,126.9466153,
2022-01-26,6,50000,만리장성,서울 동작구 상도로15길 110,37.50449378,126.9368215,
2022-01-27,10,300000,만리장성,서울 동작구 상도로15길 110,37.50449378,126.9368215,
2022-01-28,17,100000,파리바게뜨（상도점）,울 동작구 만양로 12 은혜빌딩 103~105호,37.50574902,126.9472029,
2022-01-28,17,200000,낙지한마리수제비상도,서울 동작구 상도로31길 19 브라운스톤상가 B207호,37.50556739,26.94409,
2022-01-28,5,95000,차이싱,서울 동작구 장승배기로11가길 11 2층,37.50573389,126.9391673,
2022-01-28,18,312000,홍루이젠 대방점,서울 동작구 대방동23길 44,37.50415217,126.9229393,
2022-01-31,20,325000,홍루이젠 대방점,서울 동작구 대방동23길 44,37.50415217,126.9229393,
2022-01-07,4,36000,서울가든,서울 동작구 노량진로6길 6-5,37.51282975,126.9357484,
2022-01-14,4,35000,어수지락,서울 동작구 등용로 122,37.51198309,126.9322344,
2022-01-17,3,26000,취복루,서울 동작구 노량진로 96,37.51305757,126.9363336,
2022-01-19,2,14000,순 칼국수,서울 동작구 등용로14길 66 1층,37.51224377,126.9351551,
2022-01-20,6,80000,서울가든,서울 동작구 노량진로6길 6-5,37.51282975,126.9357484,
2022-01-24,6,68000,순천집,서울 동작구 노량진로 80 큐브스테이트 2층,37.51286519,126.9346626,
2022-01-26,4,42000,취복루,서울 동작구 노량진로 96,37.51305757,126.9363336,
2022-01-27,5,60000,궁중순대보쌈,서울 동작구 등용로14길 60,37.51224361,126.9348724,
2022-01-25,5,120000,희래등,서울 동작구 등용로 123,37.51202109,126.9317282,
2022-01-20,4,40000,고흥회수산,서울 동작구 등용로 124,37.51227134,126.9321125,
2022-01-13,4,48500,돌쇠와석쇠,서울 동작구 솔밭로 110,37.48569351,126.9687084,
2022-01-18,4,46000,차녕식당,서울 동작구 사당로16가길 87 1층,37.48467997,126.9690763,
2022-01-20,5,64000,파파디파스타,서울 동작구 사당로 169 102호,37.48681509,126.9680578,
